frame,time_s,z_m,vz_mps,F_brake_N,P_recov_W,E_cum_J,wheel_deg
1,0.0,14.999319,-0.08175,0.0,0.0,0.0,0.1
2,0.008333,14.998002,-0.15805,327.0,18.04,0.15,0.29
3,0.016667,14.996091,-0.229263,632.2,67.45,0.71,0.56
4,0.025,14.993627,-0.295729,917.05,141.92,1.9,0.91
5,0.033333,14.990645,-0.357764,1182.92,236.13,3.86,1.34
6,0.041667,14.987182,-0.415663,1431.06,345.59,6.74,1.84
7,0.05,14.983267,-0.469702,1662.65,466.49,10.63,2.4
8,0.058333,14.978933,-0.520139,1878.81,595.67,15.59,3.02
9,0.066667,14.974206,-0.567213,2080.55,730.47,21.68,3.69
10,0.075,14.969113,-0.611148,2268.85,868.67,28.92,4.42
11,0.083333,14.963679,-0.652155,2444.59,1008.46,37.32,5.2
12,0.091667,14.957925,-0.690428,2608.62,1148.33,46.89,6.03
13,0.1,14.951874,-0.72615,2761.71,1287.07,57.62,6.89
14,0.108333,14.945545,-0.75949,2904.6,1423.69,69.48,7.8
15,0.116667,14.938956,-0.790607,3037.96,1557.43,82.46,8.74
16,0.125,14.932126,-0.81965,3162.43,1687.66,96.53,9.72
17,0.133333,14.92507,-0.846757,3278.6,1813.93,111.64,10.73
18,0.141667,14.917802,-0.872056,3387.03,1935.89,127.77,11.77
19,0.15,14.910338,-0.895669,3488.22,2053.3,144.88,12.84
20,0.158333,14.902691,-0.917708,3582.68,2166.0,162.93,13.94
21,0.166667,14.894872,-0.938277,3670.83,2273.91,181.88,15.06
22,0.175,14.886893,-0.957475,3753.11,2376.98,201.69,16.2
23,0.183333,14.878765,-0.975394,3829.9,2475.25,222.32,17.37
24,0.191667,14.870497,-0.992118,3901.58,2568.76,243.73,18.55
25,0.2,14.862099,-1.007726,3968.47,2657.6,265.87,19.75
26,0.208333,14.85358,-1.022295,4030.91,2741.88,288.72,20.97
27,0.216667,14.844948,-1.035892,4089.18,2821.73,312.24,22.21
28,0.225,14.83621,-1.048582,4143.57,2897.29,336.38,23.46
29,0.233333,14.827373,-1.060427,4194.33,2968.72,361.12,24.73
30,0.241667,14.818444,-1.071482,4241.71,3036.16,386.42,26.01
31,0.25,14.809429,-1.081799,4285.93,3099.8,412.25,27.3
32,0.258333,14.800333,-1.09143,4327.2,3159.78,438.58,28.6
33,0.266667,14.791163,-1.100418,4365.72,3216.29,465.39,29.91
34,0.275,14.781923,-1.108806,4401.67,3269.48,492.63,31.24
35,0.283333,14.772618,-1.116636,4435.23,3319.52,520.29,32.57
36,0.291667,14.763252,-1.123944,4466.54,3366.56,548.35,33.91
37,0.3,14.753829,-1.130764,4495.77,3410.77,576.77,35.26
38,0.308333,14.744353,-1.13713,4523.06,3452.29,605.54,36.62
39,0.316667,14.734827,-1.143071,4548.52,3491.27,634.64,37.98
40,0.325,14.725255,-1.148616,4572.28,3527.85,664.03,39.35
41,0.333333,14.71564,-1.153792,4594.47,3562.16,693.72,40.73
42,0.341667,14.705985,-1.158622,4615.17,3594.34,723.67,42.11
43,0.35,14.696292,-1.163131,4634.49,3624.5,753.88,43.5
44,0.358333,14.686565,-1.167339,4652.52,3652.76,784.32,44.9
45,0.366667,14.676804,-1.171266,4669.36,3679.24,814.98,46.29
46,0.375,14.667013,-1.174932,4685.07,3704.03,845.84,47.7
47,0.383333,14.657193,-1.178353,4699.73,3727.26,876.9,49.1
48,0.391667,14.647347,-1.181546,4713.41,3748.99,908.14,50.51
49,0.4,14.637476,-1.184526,4726.18,3769.34,939.56,51.93
